legacy path,new path
cmc/insidescoop.html,organizations/recruit
cmc/jb.html,organizations/recruit/finding-candidates/job-board
cmc/policies,organizations/recruit/finding-candidates/policies
cmc/reports,organizations/recruit/employment-reports
cmc/visibility,organizations/recruit/strategies/build-visibility
cmc/visibility/catering.html,stanford-university-community/plan-event/catering-services
cmc/visibility/cnn.html,organizations/recruit/finding-candidates/events/networking-nights
cmc/visibility/confirm_eventrequest.html,organizations/recruit/finding-candidates/events/employer
cmc/visibility/eventrequest.html,organizations/recruit/finding-candidates/events/employer
cmc/visibility/events-cmc.html,organizations/recruit/finding-candidates/events/networking-nights
cmc/visibility/events-nongsb.html,organizations/recruit/finding-candidates/events/employer
cmc/visibility/events-students.html,organizations/recruit/finding-candidates/events/employer
cmc/visit,visit
cmc/visit/directions.html,visit
cmc/visit/hotels.html,visit
cmc/visit/map.html,visit
cmc/visit/parking.html,visit
cmc/visit/transportation.html,visit
corporate,organizations
corprel,organizations/invest
corprel/annual,organizations/invest/donor-recognition
corprel/contact_us.html,organizations/invest/contact
corprel/corp_programs,organizations/invest/other-ways/centers-initiatives
corprel/corp_programs/global_aff_pgm.html,organizations/leverage-gsb/internships-experiential-learning/gmix
corprel/corp_programs/gmix,organizations/leverage-gsb/internships-experiential-learning/gmix
corprel/corp_visibility,organizations/invest
corprel/corp_visibility/speaker_engage.html,organizations/leverage-gsb
corprel/corp_visibility/sponsorships,organizations/invest/other-ways/student-fellowships
corprel/corp_visibility/sponsorships/diversity.html,organizations/invest/other-ways/student-fellowships
corprel/corp_visibility/sponsorships/global.html,organizations/invest/other-ways/student-fellowships
corprel/corp_visibility/sponsorships/industry.html,organizations/invest/other-ways/student-fellowships
corprel/corp_visibility/sponsorships/leadership.html,organizations/invest/other-ways/student-fellowships
corprel/corporate_matching.html,http://matchinggifts.com/stanford
corprel/gift_opp,organizations/invest/other-ways
corprel/gift_opp/advantages.html,organizations/invest/other-ways
corprel/gift_opp/faculty.html,organizations/invest/other-ways
corprel/gift_opp/fellowships.html,organizations/invest/other-ways
corprel/gift_opp/students.html,organizations/invest/other-ways
giving,alumni/giving
giving-1,alumni/giving
giving/,alumni/giving
giving/2013report,alumni/giving
giving/benefactor/spring_2010.html,alumni/giving/donor-recognition/news-stories
giving/bsf,alumni/giving/business-school-fund
giving/bsf,alumni/giving/business-school-fund
giving/bsf/bsf_faqs,alumni/giving/business-school-fund
giving/bsf/contact_us.html,alumni/giving/contact
giving/bsf/give_your_time,alumni/giving/business-school-fund
giving/bsf/give_your_time/class_agent_responsibilities.html,alumni/volunteering/fundraising
giving/bsf/give_your_time/confirm_sign_up_now.html,alumni/volunteering/fundraising
giving/bsf/give_your_time/gsb_opportunities.html,alumni/volunteering
giving/bsf/give_your_time/reunion_volunteer_responsibilities.html,alumni/volunteering/fundraising
giving/bsf/give_your_time/sign_up_now.html,alumni/volunteering/fundraising
giving/bsf/give_your_time/volunteer_log_in.html,alumni/volunteering/fundraising
giving/bsf/holiday-thank-you,alumni/giving
giving/bsf/ways_to_give,alumni/giving/how-make-gift
giving/bsf/ways_to_give/canada.html,alumni/giving/how-make-gift/international
giving/bsf/ways_to_give/charitable_gift_funds.html,alumni/giving/how-make-gift
giving/bsf/ways_to_give/corporate_matches.html,http://matchinggifts.com/stanford
giving/bsf/ways_to_give/creditcards.html,alumni/giving/how-make-gift
giving/bsf/ways_to_give/eft.html,alumni/giving/how-make-gift
giving/bsf/ways_to_give/giving_deadlines.html,alumni/giving/how-make-gift/deadlines
giving/bsf/ways_to_give/hongkong.html,alumni/giving/how-make-gift/international
giving/bsf/ways_to_give/international_donors.html,alumni/giving/how-make-gift/international
giving/bsf/ways_to_give/mail_fax.html,alumni/giving/how-make-gift
giving/bsf/ways_to_give/mexico.html,alumni/giving/how-make-gift/international
giving/bsf/ways_to_give/planned_gifts.html,alumni/giving/how-make-gift
giving/bsf/ways_to_give/securities.html,alumni/giving/how-make-gift
